msg,ts,sample
HIGHRES_IMU,190234387,-9.3504
HIGHRES_IMU,190241311,-9.3504
HIGHRES_IMU,190248254,-9.3504
HIGHRES_IMU,190255196,-9.3504
HIGHRES_IMU,190269109,-9.3504
HIGHRES_IMU,190276080,-9.3504
HIGHRES_IMU,190283035,-9.3504
HIGHRES_IMU,190290142,-9.3504
HIGHRES_IMU,190303862,-9.3504
HIGHRES_IMU,190310764,-9.3504
HIGHRES_IMU,190317819,-9.3503
HIGHRES_IMU,190324703,-9.3504
HIGHRES_IMU,190338617,-9.3504
HIGHRES_IMU,190345550,-9.3504
HIGHRES_IMU,190352559,-9.3504
HIGHRES_IMU,190366338,-9.3503
HIGHRES_IMU,190373323,-9.3504
HIGHRES_IMU,190380269,-9.3504
HIGHRES_IMU,190387231,-9.3504
HIGHRES_IMU,190401080,-9.3504
HIGHRES_IMU,190408018,-9.3503
HIGHRES_IMU,190414978,-9.3504
HIGHRES_IMU,190428905,-9.3504
HIGHRES_IMU,190435844,-9.3504
HIGHRES_IMU,190442797,-9.3504
HIGHRES_IMU,190449719,-9.3504
