wall_s,phase,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,gyro_x,gyro_y,gyro_z,acc_z
1784786917.4848,roll_neg,0.27,-1.5,0,0,0.00011793753947131336,6.309830496320501e-06,5.898208110011183e-05,9.810128211975098
1784786917.5051,roll_neg,0.27,-1.5,0,0,0.0001186528243124485,-1.2573469575727358e-05,5.925406003370881e-05,9.809821128845215
1784786917.5253,roll_neg,0.27,-1.5,0,0,0.00012384256115183234,4.90797174279578e-06,6.083725020289421e-05,9.809990882873535
1784786917.5455,roll_neg,0.27,-1.5,0,0,0.00040106757660396397,-0.00032358645694330335,-9.146129741566256e-05,9.809462547302246
1784786917.5657,roll_neg,0.27,-1.5,0,0,0.00016214727656915784,1.955332118086517e-05,4.3841781007358804e-05,9.810787200927734
1784786917.5860,roll_neg,0.27,-1.5,0,0,-6.923280307091773e-05,0.00017913966439664364,0.0001485347020206973,9.81003475189209
1784786917.6062,roll_neg,0.27,-1.5,0,0,0.00016177201177924871,2.016223152168095e-05,4.432605783222243e-05,9.810954093933105
1784786917.6266,roll_neg,0.27,-1.5,0,0,0.00012126319779781625,8.639704901725054e-06,6.299008964560926e-05,9.81017017364502
1784786917.6468,roll_neg,0.27,-1.5,0,0,0.0001254644594155252,-1.4536599337588996e-05,6.0401056543923914e-05,9.809764862060547
1784786917.6670,roll_neg,0.27,-1.5,0,0,0.00011399421782698482,-5.9223020798526704e-06,6.332547491183504e-05,9.809839248657227
1784786917.6876,roll_neg,0.27,-1.5,0,0,0.00011452523904154077,-5.875092028873041e-06,6.317646329989657e-05,9.810041427612305
1784786917.7080,roll_neg,0.27,-1.5,0,0,0.00011704090138664469,1.6399742889916524e-05,6.901017331983894e-05,9.80980396270752
1784786917.7290,roll_neg,0.27,-1.5,0,0,0.0004545311676338315,-0.0003217237535864115,-0.0001143498593592085,9.810871124267578
1784786917.7493,roll_neg,0.27,-1.5,0,0,0.00012302644609007984,-1.2398355465847999e-05,6.190237763803452e-05,9.809640884399414
1784786917.7698,roll_neg,0.27,-1.5,0,0,0.00013237472740001976,-7.557973731309175e-07,6.0017267969669774e-05,9.809924125671387
1784786917.7903,roll_neg,0.27,-1.5,0,0,0.00013021758059039712,1.8356004147790372e-06,6.182776269270107e-05,9.80981159210205
1784786917.8111,roll_neg,0.27,-1.5,0,0,0.00012060708831995726,8.795468602329493e-06,6.325831054709852e-05,9.810001373291016
1784786917.8315,roll_neg,0.27,-1.5,0,0,0.00011927832383662462,1.049709680955857e-05,6.395494710886851e-05,9.810361862182617
1784786917.8518,roll_neg,0.27,-1.5,0,0,0.00013282729196362197,4.713334783446044e-05,5.99723935010843e-05,9.81014633178711
1784786917.8720,roll_neg,0.27,-1.5,0,0,0.00012301387323532254,5.396814594860189e-05,6.155941082397476e-05,9.810375213623047
1784786917.8923,roll_neg,0.27,-1.5,0,0,0.00012301387323532254,5.396814594860189e-05,6.153333379188552e-05,9.81037425994873
1784786917.9126,roll_neg,0.27,-1.5,0,0,2.762263102340512e-05,6.0152902733534575e-05,7.413290586555377e-05,9.809880256652832
1784786917.9328,roll_neg,0.27,-1.5,0,0,0.0001166039437521249,3.937545625376515e-05,6.163401121739298e-05,9.809995651245117
1784786917.9530,neutral,0.27,0,0,0,0.0001206350716529414,3.737884617294185e-05,6.170848791953176e-05,9.809929847717285
1784786917.9732,neutral,0.27,0,0,0,0.00012596423039212823,3.2821517379488796e-05,6.04418819420971e-05,9.809636116027832
1784786917.9934,neutral,0.27,0,0,0,0.00019076801254414022,-8.505406003678218e-05,-2.5116944016190246e-05,9.811007499694824
1784786918.0137,neutral,0.27,0,0,0,-7.899633055785671e-05,0.0001989579468499869,9.925841732183471e-05,9.811378479003906
1784786918.0340,neutral,0.27,0,0,0,3.086156357312575e-05,2.8681728508672677e-05,1.229710687766783e-05,9.81137466430664
1784786918.0543,neutral,0.27,0,0,0,-8.279566827695817e-07,1.678341141087003e-05,1.6622692783130333e-05,9.810074806213379
1784786918.0745,neutral,0.27,0,0,0,-9.302792022936046e-05,0.00017151141946669668,8.076426456682384e-05,9.810160636901855
1784786918.0947,neutral,0.27,0,0,0,1.562029865453951e-06,1.0274641681462526e-05,6.5785011429397855e-06,9.809898376464844
1784786918.1149,neutral,0.27,0,0,0,1.8024161363427993e-07,2.0364900592539925e-06,2.6493189579923637e-06,9.810076713562012
1784786918.1351,neutral,0.27,0,0,0,8.145056199282408e-06,6.437880983867217e-07,9.135849836638954e-07,9.809804916381836
1784786918.1553,neutral,0.27,0,0,0,-3.207326244591968e-07,6.768815637769876e-06,1.7466311419411795e-06,9.809935569763184
1784786918.1756,neutral,0.27,0,0,0,2.871524884540122e-07,5.725647952203872e-06,1.1530441952345427e-06,9.809932708740234
