epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,182.372,1.14932,0.67386,0.24103,0.5895,0.98737,0.90128,0.72109,0.85947,0.49316,0.84645,0.89116,0.94062,0.81308,1.26707,0.60322,0.15427,0.6238,1.01216,0.0013136,0.0013136,0.0013136
54,185.702,1.11205,0.61555,0.23865,0.57475,0.96714,0.84879,0.82993,0.88525,0.48896,0.90301,0.88435,0.94816,0.82337,1.29314,0.56834,0.14424,0.6244,1.00473,0.0013004,0.0013004,0.0013004
55,189.015,1.09971,0.55204,0.22931,0.56519,0.97593,0.81223,0.85339,0.87837,0.49403,0.86375,0.90563,0.95006,0.8229,1.26072,0.57991,0.13671,0.61593,0.99227,0.0012872,0.0012872,0.0012872
56,192.432,1.10115,0.58984,0.22851,0.57329,0.97668,0.84858,0.80952,0.86823,0.50166,0.87943,0.89318,0.94676,0.81392,1.29985,0.59424,0.13826,0.60741,1.00037,0.001274,0.001274,0.001274
57,195.781,1.10094,0.62497,0.23009,0.56625,0.96121,0.82212,0.85714,0.87283,0.4863,0.87324,0.91156,0.94344,0.81831,1.32197,0.60739,0.12776,0.63152,1.01818,0.0012608,0.0012608,0.0012608
58,199.024,1.0869,0.58139,0.23696,0.57416,0.98613,0.85858,0.80952,0.88123,0.5097,0.86849,0.8985,0.94557,0.81172,1.25862,0.60097,0.12475,0.59015,0.99393,0.0012476,0.0012476,0.0012476
59,202.587,1.12744,0.59464,0.21641,0.57684,0.97098,0.88759,0.78912,0.88004,0.48797,0.86228,0.89448,0.94451,0.81694,1.33417,0.60795,0.13531,0.62405,1.01463,0.0012344,0.0012344,0.0012344
60,205.923,1.09322,0.57171,0.21697,0.55212,0.96508,0.90965,0.80272,0.90462,0.49582,0.88657,0.89796,0.95334,0.81837,1.31539,0.59351,0.13542,0.61143,1.00165,0.0012212,0.0012212,0.0012212
61,209.135,1.13354,0.55058,0.22145,0.58107,0.97887,0.84842,0.87573,0.88573,0.50683,0.88936,0.91156,0.95051,0.82375,1.27884,0.5685,0.13352,0.59073,0.99206,0.001208,0.001208,0.001208
62,212.477,1.11944,0.50973,0.21902,0.56233,0.96204,0.83851,0.80272,0.85042,0.48108,0.8436,0.91733,0.94346,0.81832,1.36975,0.59174,0.13124,0.63537,1.02807,0.0011948,0.0011948,0.0011948
63,215.836,1.09292,0.57655,0.23544,0.56035,0.95901,0.84144,0.82313,0.90016,0.50331,0.87062,0.88435,0.93853,0.81724,1.30435,0.57419,0.1236,0.62228,1.01532,0.0011816,0.0011816,0.0011816
64,219.093,1.05018,0.54509,0.22385,0.55774,0.95102,0.86346,0.81739,0.88275,0.50768,0.91361,0.86331,0.94269,0.82421,1.28472,0.52114,0.11726,0.5853,1.00562,0.0011684,0.0011684,0.0011684
