nohup: ignoring input
[train] run dir: artifacts/runs/dreamer_small_1784878651
[train] learner device=cuda collector=cuda
[train] seeded replay with 7291 demo transitions from artifacts/demos
[train] prefill to 5000 transitions (random policy) ...
[train] prefill done -> learner + policy collection running
[train] steps=46078 upd=9050 sps=7.4 ups=1.5 wm=1.76 actor=-0.09 ep_r=-18.950000762939453 gate=0 stage=hover
[train] steps=46317 upd=9100 sps=7.4 ups=1.5 wm=1.74 actor=-0.04 ep_r=-19.65999984741211 gate=0 stage=hover
[train] steps=46559 upd=9150 sps=7.4 ups=1.5 wm=1.73 actor=-0.08 ep_r=-19.040000915527344 gate=0 stage=hover
[train] steps=46784 upd=9200 sps=7.4 ups=1.5 wm=1.73 actor=-0.04 ep_r=-19.93000030517578 gate=0 stage=hover
[train] steps=47035 upd=9250 sps=7.4 ups=1.5 wm=1.83 actor=-0.06 ep_r=-18.8700008392334 gate=0 stage=hover
[train] steps=47275 upd=9300 sps=7.4 ups=1.5 wm=1.76 actor=-0.08 ep_r=-18.450000762939453 gate=0 stage=hover
[train] steps=47518 upd=9350 sps=7.4 ups=1.5 wm=1.79 actor=0.01 ep_r=-19.229999542236328 gate=0 stage=hover
[train] steps=47751 upd=9400 sps=7.4 ups=1.5 wm=1.81 actor=-0.13 ep_r=-18.549999237060547 gate=0 stage=hover
[train] steps=47966 upd=9450 sps=7.4 ups=1.5 wm=1.85 actor=0.00 ep_r=-18.549999237060547 gate=0 stage=hover
[train] steps=48160 upd=9500 sps=7.4 ups=1.5 wm=1.76 actor=-0.10 ep_r=-18.770000457763672 gate=0 stage=hover
[train] steps=48373 upd=9550 sps=7.4 ups=1.5 wm=1.81 actor=-0.09 ep_r=-18.270000457763672 gate=0 stage=hover
[train] steps=48576 upd=9600 sps=7.4 ups=1.5 wm=1.72 actor=-0.07 ep_r=-20.010000228881836 gate=0 stage=hover
[train] steps=48778 upd=9650 sps=7.4 ups=1.5 wm=1.84 actor=-0.09 ep_r=-18.5 gate=0 stage=hover
[train] steps=49009 upd=9700 sps=7.4 ups=1.5 wm=1.72 actor=-0.03 ep_r=-18.139999389648438 gate=0 stage=hover
[train] steps=49211 upd=9750 sps=7.4 ups=1.5 wm=1.74 actor=-0.18 ep_r=-19.889999389648438 gate=0 stage=hover
