Waiting for heartbeat...
Connected to system: 1
Setting up MAVLink rx...
Setting up Timesync loop...
Setting up VIO state estimator...
Loading YOLO gate model...
YOLO gate model ready.
Setting up planner...
Logging run to logs/run_1785189749.jsonl (and logs/latest.jsonl, truncated each run)
Listening for camera frames...
Priming attitude-hold stream...
[vio] anchored gate 0 at (+10.5,+0.1,-1.6) yaw=+0deg
Sim mode map: ['ACRO', 'ALT_HOLD', 'AUTO', 'AUTOROTATE', 'AUTOTUNE', 'AUTO_RTL', 'AVOID_ADSB', 'BRAKE', 'CIRCLE', 'DRIFT', 'FLIP', 'FLOWHOLD', 'FOLLOW', 'GUIDED', 'GUIDED_NOGPS', 'LAND', 'LOITER', 'OF_LOITER', 'POSHOLD', 'POSITION', 'RTL', 'SMART_RTL', 'SPORT', 'STABILIZE', 'SYSTEMID', 'THROW', 'ZIGZAG']
Requested control mode: STABILIZE
Arming drone...
Starting control loop... (DRY_RUN=False)
[FLY] src=     pnp_track range= 10.5m vel_ned=(+0.89,+1.79,-0.08) att=(r+0.02,p-0.31,y+1.11) thr=0.78
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.72,+0.69,+0.10) att=(r+0.01,p-0.30,y+0.77) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.04,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.02,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.02,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.02,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.02,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.99,+0.14,+0.10) att=(r-0.03,p-0.30,y+0.14) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r+0.03,p-0.30,y+1.12) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r-0.04,p-0.30,y+1.12) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r+0.01,p-0.30,y+1.12) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r+0.01,p-0.30,y+1.12) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r+0.01,p-0.30,y+1.12) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.43,+0.90,+0.10) att=(r+0.01,p-0.30,y+1.12) thr=0.29
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+1.26) thr=0.31
[FLY] src=     pnp_track range= 24.7m vel_ned=(+1.89,+0.65,+0.32) att=(r-0.35,p-0.35,y+0.33) thr=0.53
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r-0.03,p-0.30,y+0.34) thr=0.31
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r-0.03,p-0.30,y+0.34) thr=0.31
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r-0.01,p-0.30,y+0.34) thr=0.31
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r-0.01,p-0.30,y+0.34) thr=0.31
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r-0.08,p-0.29,y+0.34) thr=0.31
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.94,+0.33,+0.10) att=(r+0.16,p-0.24,y+0.34) thr=0.31
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+0.53) thr=0.34
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+0.73) thr=0.34
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+0.93) thr=0.34
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+1.13) thr=0.34
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+1.34) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.76,-0.64,+0.10) att=(r-0.11,p-0.26,y-0.70) thr=0.32
[FLY] src=     pnp_track range= 28.9m vel_ned=(+0.30,-1.98,+0.23) att=(r-0.10,p-0.32,y-1.42) thr=0.90
[vio] gate 0 anchor rejected 18 fixes in a row — re-anchoring
[vio] anchored gate 0 at (+36.8,-38.1,+42.7) yaw=-105deg
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.15,-0.99,+0.10) att=(r-0.10,p-0.28,y-1.42) thr=0.32
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.15,-0.99,+0.10) att=(r-0.09,p-0.29,y-1.42) thr=0.32
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.15,-0.99,+0.10) att=(r-0.10,p-0.28,y-1.42) thr=0.32
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.15,-0.99,+0.10) att=(r-0.08,p-0.29,y-1.42) thr=0.32
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.15,-0.99,+0.10) att=(r-0.05,p-0.30,y-1.42) thr=0.32
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.01,p-0.13,y-1.41) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-1.20) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-1.00) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-0.79) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-0.59) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-0.39) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y-0.19) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.02) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.22) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.42) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.62) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.83) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.03) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.23) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.43) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.64) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.84) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.04) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.24) thr=0.35
[FLY] src=     pnp_track range=  9.9m vel_ned=(-1.71,+1.04,+0.09) att=(r-0.31,p-0.31,y+2.59) thr=0.42
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r-0.00,p-0.30,y+2.49) thr=0.33
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r+0.00,p-0.30,y+2.49) thr=0.33
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r+0.26,p-0.15,y+2.49) thr=0.33
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r+0.26,p-0.15,y+2.49) thr=0.33
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r+0.26,p-0.15,y+2.49) thr=0.33
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.79,+0.61,+0.10) att=(r+0.26,p-0.15,y+2.49) thr=0.33
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+2.67) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+2.87) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y+3.07) thr=0.35
[FLY] src=     pnp_track range= 26.9m vel_ned=(+0.36,+1.97,+0.27) att=(r+0.35,p-0.34,y+1.39) thr=0.90
[vio] gate 0 anchor rejected 12 fixes in a row — re-anchoring
[vio] anchored gate 0 at (+19.5,+26.5,+78.5) yaw=+74deg
[FLY] src=     pnp_track range= 26.9m vel_ned=(+0.39,+1.96,+0.27) att=(r+0.35,p-0.35,y+1.37) thr=0.90
[FLY] src=     pnp_track range= 26.5m vel_ned=(+0.39,+1.96,+0.27) att=(r+0.35,p-0.35,y+1.37) thr=0.90
[FLY] src=     pnp_track range= 26.8m vel_ned=(+0.39,+1.96,+0.27) att=(r+0.35,p-0.35,y+1.37) thr=0.90
[FLY] src=     pnp_track range= 29.6m vel_ned=(-0.39,+1.96,-0.88) att=(r+0.27,p+0.14,y+1.77) thr=0.45
[vio] gate 0 anchor rejected 12 fixes in a row — re-anchoring
[vio] anchored gate 0 at (+14.5,+16.5,+58.7) yaw=+88deg
[FLY] src=     pnp_track range= 28.3m vel_ned=(-1.27,+1.54,-1.00) att=(r-0.02,p+0.21,y+2.26) thr=0.37
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.29,+0.96,+0.10) att=(r+0.06,p-0.29,y+1.86) thr=0.34
[FLY] src=     pnp_track range= 34.7m vel_ned=(-1.54,+1.28,-0.83) att=(r+0.20,p-0.11,y+2.45) thr=0.66
[vio] gate 0 anchor rejected 12 fixes in a row — re-anchoring
[vio] anchored gate 0 at (-12.7,+29.7,+58.0) yaw=+99deg
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r+0.17,p-0.25,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r+0.07,p-0.29,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r-0.05,p-0.29,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r-0.03,p-0.30,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r-0.01,p-0.30,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.98,+0.20,+0.10) att=(r-0.00,p-0.30,y+2.94) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.95,+0.31,+0.10) att=(r-0.03,p-0.29,y+2.82) thr=0.34
